seed,epsilon,delta,m,threshold,cal_coverage,cal_avg_size,test_coverage,test_avg_size,time_solve_threshold,avg_time_per_test
2024,0.1,0.1,1,0.65,0.935,132.535,0.9075,144.35875,8313.977666139603,2.4212060129642485
2024,0.2,0.001,8,0.65,0.89,1.93,0.8425,1.8925,8591.01389169693,2.393753769993782
2024,0.2,0.01,4,0.65,0.895,3.18,0.84625,3.45125,8584.593023061752,2.4409243243932726
2024,0.2,0.01,8,0.65,0.89,1.93,0.8425,1.8925,8642.927595376968,2.4058306220173837
2024,0.2,0.001,4,0.65,0.895,3.18,0.84625,3.45125,8664.714322090149,2.4018680706620215
2024,0.2,0.001,2,0.65,0.895,14.455,0.85,29.9475,8828.433376312256,2.354050659239292
2024,0.2,0.001,1,0.6,0.925,124.21,0.8825,107.95375,8932.881571054459,2.361559781730175
2024,0.2,0.01,2,0.6,0.875,11.695,0.83,17.98125,9215.166491508484,2.3963054955005645
2024,0.2,0.01,1,0.55,0.875,76.555,0.86125,81.47125,9465.503608465195,2.3368923959136008
2024,0.2,0.1,8,0.55,0.84,1.485,0.80125,1.47875,9823.080632686615,2.302757804989815
2024,0.2,0.1,2,0.55,0.855,9.72,0.80625,10.09875,10028.430421113968,2.298063303232193
2024,0.2,0.1,4,0.55,0.84,2.03,0.8025,1.85125,10098.23554944992,2.250951044857502
2024,0.2,0.1,1,0.5,0.845,63.64,0.8325,62.72875,10461.399880886078,2.2874286738038063
2024,0.4,0.001,1,0.2,0.715,1.18,0.6875,1.5625,13599.041545152664,2.318213586509228
2024,0.4,0.001,8,0.15,0.71,1.005,0.665,1.00375,14322.486040115356,2.2113977527618407
2024,0.4,0.001,2,0.15,0.71,1.005,0.66625,1.00375,14357.680394649506,2.202239289879799
2024,0.4,0.001,4,0.15,0.71,1.005,0.66625,1.00375,14447.640848875046,2.253320819735527
2024,0.4,0.01,4,0.15,0.71,1.005,0.66625,1.00375,14596.583929538727,2.2241946986317633
2024,0.4,0.01,2,0.15,0.71,1.005,0.66625,1.00375,14656.744584560394,2.2016862508654595
2024,0.4,0.01,1,0.15,0.705,1.045,0.6675,1.03375,14629.766946315765,2.3425862500071526
2024,0.4,0.01,8,0.15,0.71,1.005,0.665,1.00375,14729.433234930038,2.2527806335687637
2024,0.4,0.1,2,0.1,0.675,1.0,0.6225,1.0,15134.283834218979,2.1932019087672234
2024,0.4,0.1,4,0.1,0.675,1.0,0.62375,1.0,15132.473493099213,2.2549579456448554
2024,0.4,0.1,1,0.1,0.675,1.0,0.61875,1.0,15144.123916387558,2.331321425139904
2024,0.4,0.1,8,0.1,0.68,1.0,0.62,1.0,15248.593168497086,2.2125700163841246
